Date,Close,Search Trends
2016-05-31,136.51,325.0
2016-06-01,136.27,1131.0
2016-06-02,136.98,1168.0
2016-06-03,135.64,1119.0
2016-06-06,138.25,1177.0
2016-06-07,138.47,1183.0
2016-06-08,136.96,1134.0
2016-06-09,137.45,1128.0
2016-06-10,134.3,1091.0
2016-06-13,133.25,1171.0
2016-06-14,134.48,1129.0
2016-06-15,133.77,1098.0
2016-06-16,135.42,1057.0
2016-06-17,133.83,1015.0
2016-06-20,135.12,1120.0
2016-06-21,135.82,1139.0
2016-06-22,136.33,1130.0
2016-06-23,138.94,1144.0
2016-06-24,131.99,1109.0
2016-06-27,126.88,1206.0
2016-06-28,132.77,1198.0
2016-06-29,138.93,1099.0
2016-06-30,140.76,1085.0
2016-07-01,139.75,1066.0
2016-07-05,139.89,1135.0
2016-07-06,139.58,1121.0
2016-07-07,142.78,1047.0
2016-07-08,146.24,1024.0
2016-07-11,149.12,1182.0
2016-07-12,151.14,1140.0
2016-07-13,149.27,1130.0
2016-07-14,149.205,1099.0
2016-07-15,148.5,1029.0
2016-07-18,148.73,1184.0
2016-07-19,148.5,1147.0
2016-07-20,152.36,1062.0
2016-07-21,153.32,1111.0
2016-07-22,154.19,1071.0
2016-07-25,151.44,1195.0
2016-07-26,151.41,1193.0
2016-07-27,151.4,1177.0
2016-07-28,151.91,1140.0
2016-07-29,153.33,1081.0
2016-08-01,152.97,1196.0
2016-08-02,151.47,1179.0
2016-08-03,151.17,1139.0
2016-08-04,152.51,1037.0
2016-08-05,173.05,1080.0
2016-08-08,173.71,1145.0
2016-08-09,170.16,1118.0
2016-08-10,169.58,1196.0
2016-08-11,169.88,1199.0
2016-08-12,168.75,1119.0
2016-08-15,169.97,1147.0
2016-08-16,168.21,1172.0
2016-08-17,166.97,1145.0
2016-08-18,167.02,1118.0
2016-08-19,167.64,1074.0
2016-08-22,166.85,1160.0
2016-08-23,166.73,1156.0
2016-08-24,166.01,1202.0
2016-08-25,166.39,1190.0
2016-08-26,166.97,1155.0
2016-08-29,166.49,1183.0
2016-08-30,166.8,1118.0
2016-08-31,171.93,934.0
2016-09-01,173.79,865.0
2016-09-02,186.17,906.0
2016-09-06,186.29,1075.0
2016-09-07,181.96,1096.0
2016-09-08,183.18,1065.0
2016-09-09,179.35,1029.0
2016-09-12,179.71,1193.0
2016-09-13,176.89,1145.0
2016-09-14,172.09,1209.0
2016-09-15,174.64,1138.0
2016-09-16,177.32,1087.0
2016-09-19,178.94,1167.0
2016-09-20,179.24,1144.0
2016-09-21,186.65,1137.0
2016-09-22,191.44,1139.0
2016-09-23,187.03,1108.0
2016-09-28,187.415,1175.0
2016-09-29,183.93,1168.0
2016-09-30,184.95,1125.0
2016-10-03,186.33,1167.0
2016-10-04,184.505,1160.0
2016-10-05,186.48,1176.0
2016-10-06,186.35,1088.0
2016-10-07,189.78,1088.0
2016-10-10,189.11,1123.0
2016-10-11,184.3,1133.0
2016-10-12,176.5,1128.0
2016-10-13,168.45,1157.0
2016-10-14,167.34,1102.0
2016-10-17,167.89,1152.0
2016-10-18,167.4,1184.0
2016-10-19,169.34,1068.0
2016-10-20,171.28,905.0
2016-10-21,173.85,845.0
2016-10-24,172.82,891.0
2016-10-25,171.14,946.0
2016-10-26,170.67,1138.0
2016-10-27,169.28,1124.0
2016-10-28,168.23,1078.0
2016-10-31,167.975,1254.0
2016-11-01,169.92,1178.0
2016-11-02,166.53,1130.0
2016-11-03,165.74,1120.0
2016-11-04,166.995,1116.0
2016-11-07,169.28,1210.0
2016-11-08,174.66,1133.0
2016-11-09,172.67,1180.0
2016-11-10,162.83,1170.0
2016-11-11,155.88,1189.0
2016-11-14,153.74,1168.0
2016-11-15,155.8,1114.0
2016-11-16,156.78,1210.0
2016-11-17,157.41,1170.0
2016-11-18,157.6,1117.0
2016-11-21,160.81,1210.0
2016-11-22,165.15,1197.0
2016-11-23,166.87,1143.0
2016-11-25,162.94,1178.0
2016-11-28,161.85,1185.0
2016-11-29,162.82,1151.0
2016-11-30,157.79,1106.0
2016-12-01,151.3,1106.0
2016-12-02,152.54,1123.0
2016-12-05,157.95,1201.0
2016-12-06,157.61,1190.0
2016-12-07,165.58,1102.0
2016-12-08,159.85,1118.0
2016-12-09,158.61,1063.0
2016-12-12,153.72,1173.0
2016-12-13,156.77,1200.0
2016-12-14,157.75,1135.0
2016-12-15,159.12,1122.0
2016-12-16,154.69,1055.0
2016-12-19,152.99,1220.0
2016-12-20,152.99,1233.0
2016-12-21,154.29,1235.0
2016-12-22,156.41,1197.0
2016-12-23,156.68,1055.0
2016-12-27,158.49,1205.0
2016-12-28,155.755,1198.0
2016-12-29,158.52,1124.0
2016-12-30,156.17,989.0
2017-01-03,161.13,1194.0
2017-01-04,165.82,1096.0
2017-01-05,171.28,1070.0
2017-01-06,172.33,1026.0
2017-01-09,174.13,1123.0
2017-01-10,177.63,1160.0
2017-01-11,176.8,1025.0
2017-01-12,173.2,1011.0
2017-01-13,176.29,998.0
2017-01-17,178.02,1092.0
2017-01-18,175.23,1152.0
2017-01-19,174.89,1124.0
2017-01-20,176.13,1080.0
2017-01-23,178.75,1225.0
2017-01-24,183.17,1168.0
2017-01-25,183.48,1144.0
2017-01-26,183.3,1106.0
2017-01-27,182.8,1098.0
2017-01-30,185.01,1219.0
2017-01-31,185.39,1224.0
