Date,Search Trends
2016-05-31,325
2016-06-01,1131
2016-06-02,1168
2016-06-03,1119
2016-06-04,1096
2016-06-05,1060
2016-06-06,1177
2016-06-07,1183
2016-06-08,1134
2016-06-09,1128
2016-06-10,1091
2016-06-11,1038
2016-06-12,1048
2016-06-13,1171
2016-06-14,1129
2016-06-15,1098
2016-06-16,1057
2016-06-17,1015
2016-06-18,976
2016-06-19,930
2016-06-20,1120
2016-06-21,1139
2016-06-22,1130
2016-06-23,1144
2016-06-24,1109
2016-06-25,1128
2016-06-26,1072
2016-06-27,1206
2016-06-28,1198
2016-06-29,1099
2016-06-30,1085
2016-07-01,1066
2016-07-02,1053
2016-07-03,1094
2016-07-04,1224
2016-07-05,1135
2016-07-06,1121
2016-07-07,1047
2016-07-08,1024
2016-07-09,997
2016-07-10,1005
2016-07-11,1182
2016-07-12,1140
2016-07-13,1130
2016-07-14,1099
2016-07-15,1029
2016-07-16,1023
2016-07-17,1032
2016-07-18,1184
2016-07-19,1147
2016-07-20,1062
2016-07-21,1111
2016-07-22,1071
2016-07-23,1009
2016-07-24,1046
2016-07-25,1195
2016-07-26,1193
2016-07-27,1177
2016-07-28,1140
2016-07-29,1081
2016-07-30,1009
2016-07-31,1080
2016-08-01,1196
2016-08-02,1179
2016-08-03,1139
2016-08-04,1037
2016-08-05,1080
2016-08-06,991
2016-08-07,978
2016-08-08,1145
2016-08-09,1118
2016-08-10,1196
2016-08-11,1199
2016-08-12,1119
2016-08-13,1029
2016-08-14,988
2016-08-15,1147
2016-08-16,1172
2016-08-17,1145
2016-08-18,1118
2016-08-19,1074
2016-08-20,1004
2016-08-21,998
2016-08-22,1160
2016-08-23,1156
2016-08-24,1202
2016-08-25,1190
2016-08-26,1155
2016-08-27,1151
2016-08-28,1114
2016-08-29,1183
2016-08-30,1118
2016-08-31,934
2016-09-01,865
2016-09-02,906
2016-09-03,877
2016-09-04,1017
2016-09-05,1192
2016-09-06,1075
2016-09-07,1096
2016-09-08,1065
2016-09-09,1029
2016-09-10,951
2016-09-11,983
2016-09-12,1193
2016-09-13,1145
2016-09-14,1209
2016-09-15,1138
2016-09-16,1087
2016-09-17,996
2016-09-18,1032
2016-09-19,1167
2016-09-20,1144
2016-09-21,1137
2016-09-22,1139
2016-09-23,1108
2016-09-24,1024
2016-09-25,1017
2016-09-26,1173
2016-09-27,1176
2016-09-28,1175
2016-09-29,1168
2016-09-30,1125
2016-10-01,1015
2016-10-02,1036
2016-10-03,1167
2016-10-04,1160
2016-10-05,1176
2016-10-06,1088
2016-10-07,1088
2016-10-08,973
2016-10-09,945
2016-10-10,1123
2016-10-11,1133
2016-10-12,1128
2016-10-13,1157
2016-10-14,1102
2016-10-15,1022
2016-10-16,977
2016-10-17,1152
2016-10-18,1184
2016-10-19,1068
2016-10-20,905
2016-10-21,845
2016-10-22,765
2016-10-23,759
2016-10-24,891
2016-10-25,946
2016-10-26,1138
2016-10-27,1124
2016-10-28,1078
2016-10-29,981
2016-10-30,985
2016-10-31,1254
2016-11-01,1178
2016-11-02,1130
2016-11-03,1120
2016-11-04,1116
2016-11-05,994
2016-11-06,1036
2016-11-07,1210
2016-11-08,1133
2016-11-09,1180
2016-11-10,1170
2016-11-11,1189
2016-11-12,1083
2016-11-13,1125
2016-11-14,1168
2016-11-15,1114
2016-11-16,1210
2016-11-17,1170
2016-11-18,1117
2016-11-19,1009
2016-11-20,1027
2016-11-21,1210
2016-11-22,1197
2016-11-23,1143
2016-11-24,1172
2016-11-25,1178
2016-11-26,1007
2016-11-27,964
2016-11-28,1185
2016-11-29,1151
2016-11-30,1106
2016-12-01,1106
2016-12-02,1123
2016-12-03,1002
2016-12-04,1031
2016-12-05,1201
2016-12-06,1190
2016-12-07,1102
2016-12-08,1118
2016-12-09,1063
2016-12-10,993
2016-12-11,983
2016-12-12,1173
2016-12-13,1200
2016-12-14,1135
2016-12-15,1122
2016-12-16,1055
